,Pos,Driver,Nationality,Car,PTS,Year
1225,7,Rubens Barrichello BAR,BRA,Honda,30,2006
1226,8,Juan Pablo Montoya MOY,COL,McLaren Mercedes,26,2006
1227,9,Nick Heidfeld HEI,GER,Sauber BMW,23,2006
1228,10,Ralf Schumacher RSC,GER,Toyota,20,2006
1229,11,Pedro de la Rosa DLR,ESP,McLaren Mercedes,19,2006
1230,12,Jarno Trulli TRU,ITA,Toyota,15,2006
1231,13,David Coulthard COU,GBR,RBR Ferrari,14,2006
1232,14,Mark Webber WEB,AUS,Williams Cosworth,7,2006
1233,15,Jacques Villeneuve VIL,CAN,Sauber BMW,7,2006
1234,16,Robert Kubica KUB,POL,Sauber BMW,6,2006
1235,17,Nico Rosberg ROS,GER,Williams Cosworth,4,2006
1236,18,Christian Klien KLI,AUT,RBR Ferrari,2,2006
1237,19,Vitantonio Liuzzi LIU,ITA,STR Cosworth,1,2006
1238,20,Scott Speed SPE,USA,STR Cosworth,0,2006
1239,21,Tiago Monteiro MON,POR,MF1 Toyota,0,2006
1240,22,Christijan Albers ALB,NED,MF1 Toyota,0,2006
1241,23,Takuma Sato SAT,JPN,Super Aguri Honda,0,2006
1242,24,Robert Doornbos DOO,NED,RBR Ferrari,0,2006
1243,25,Yuji Ide IDE,JPN,Super Aguri Honda,0,2006
1244,26,Sakon Yamamoto YAM,JPN,Super Aguri Honda,0,2006
1245,27,Franck Montagny MON,FRA,Super Aguri Honda,0,2006
