Position,Driver,Nationality,Car,Points,Year
9,Jacques Villeneuve,CAN,BAR Honda,6,2003
7,Mika Hakkinen,FIN,McLaren Mercedes,37,2003
5,Damon Hill,BRA,Ferrari,62,2003
1,Michael Schumacher,GER,Ferrari,148,2004
2,Rubens Barrichello,BRA,Ferrari,114,2004
3,Fernando Alonso,ESP,Renault,59,2004
4,Juan Pablo Montoya,COL,Williams BMW,58,2004
6,Kimi Raikkonen,FIN,McLaren Mercedes,45,2004
8,David Coulthard,GBR,McLaren Mercedes,24,2004
5,Mika Hakkinen,FIN,McLaren Mercedes,37,2004
7,Damon Hill,GBR,Jordan Mugen Honda,7,2004
9,Jacques Villeneuve,CAN,Renault,0,2004
1,Fernando Alonso,ESP,Renault,133,2005
2,Kimi Raikkonen,FIN,McLaren Mercedes,112,2005
3,Michael Schumacher,GER,Ferrari,62,2005
4,Juan Pablo Montoya,COL,McLaren Mercedes,60,2005
5,Rubens Barrichello,BRA,Ferrari,38,2005
8,David Coulthard,GBR,RBR Cosworth,24,2005
9,Jacques Villeneuve,CAN,Sauber Petronas,9,2005
7,Damon Hill,GBR,Jordan Mugen Honda,7,2005
6,Mika Hakkinen,FIN,McLaren Mercedes,37,2005
1,Fernando Alonso,ESP,Renault,134,2006
2,Michael Schumacher,GER,Ferrari,121,2006
3,Kimi Raikkonen,FIN,McLaren Mercedes,65,2006
4,Rubens Barrichello,BRA,Honda,30,2006
5,Juan Pablo Montoya,COL,McLaren Mercedes,26,2006
8,David Coulthard,GBR,RBR Ferrari,14,2006
9,Jacques Villeneuve,CAN,Sauber BMW,7,2006
6,Damon Hill,GBR,Jordan Mugen Honda,7,2006
7,Mika Hakkinen,FIN,McLaren Mercedes,37,2006
